"politician","dbpedia","party_label","birthDate","deathDate","successor_label","religion_label","birthplace","nationality_label"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"All Ceylon Tamil Congress","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"All Ceylon Tamil Congress","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"All Ceylon Tamil Congress","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"A. Thiagarajah","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"A. Thiagarajah","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"A. Thiagarajah","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Mavai Senathirajah","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"M. Sivasithamparam","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Mavai Senathirajah","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"M. Sivasithamparam","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"M. Sivasithamparam","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Mavai Senathirajah","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Tamil United Liberation Front","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Tamil United Liberation Front","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Tamil United Liberation Front","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Anura Bandaranaike","Hinduism in Sri Lanka","Pannagam","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Anura Bandaranaike","Hinduism in Sri Lanka","British Ceylon","Sri Lanka"
"A. Amirthalingam","http://dbpedia.org/resource/A._Amirthalingam","Illankai Tamil Arasu Kachchi",1927-08-26,1989-07-13,"Anura Bandaranaike","Hinduism in Sri Lanka","Vaddukoddai","Sri Lanka"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","Democratic Action Congress",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","Democratic Action Congress",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","People's National Movement",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","People's National Movement",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","National Alliance for Reconstruction",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","National Alliance for Reconstruction",1926-12-16,2014-04-09,"George Maxwell Richards","Methodism","Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","People's National Movement",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","National Alliance for Reconstruction",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","Democratic Action Congress",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","Democratic Action Congress",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","National Alliance for Reconstruction",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Trinidad and Tobago","Trinidadians"
"A. N. R. Robinson","http://dbpedia.org/resource/A._N._R._Robinson","People's National Movement",1926-12-16,2014-04-09,"Patrick Manning","Methodism","Tobago","Trinidadians"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","Independent (politician)",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Ottoman Empire","Iraq"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","Iraqi Communist Party",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Ottoman Empire","Iraq"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","National Democratic Party (Iraq, 1946)",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Ottoman Empire","Iraq"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","National Democratic Party (Iraq, 1946)",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Baghdad","Iraq"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","Independent (politician)",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Baghdad","Iraq"
"Abd al-Karim Qasim","http://dbpedia.org/resource/Abd_al-Karim_Qasim","Iraqi Communist Party",1914-11-21,1963-02-09,"Ahmed Hassan al-Bakr","Islam","Baghdad","Iraq"
"Abdirashid Ali Shermarke","http://dbpedia.org/resource/Abdirashid_Ali_Shermarke","Somali Youth League",1919-10-16,1969-10-15,"Sheikh Mukhtar Mohamed Hussein","Islam","Harardhere","Somali people"
"Abdirashid Ali Shermarke","http://dbpedia.org/resource/Abdirashid_Ali_Shermarke","Somali Youth League",1919-10-16,1969-10-15,"Sheikh Mukhtar Mohamed Hussein","Islam","Mudug","Somali people"
"Abdirashid Ali Shermarke","http://dbpedia.org/resource/Abdirashid_Ali_Shermarke","Somali Youth League",1919-10-16,1969-10-15,"Abdirizak Haji Hussein","Islam","Harardhere","Somali people"
"Abdirashid Ali Shermarke","http://dbpedia.org/resource/Abdirashid_Ali_Shermarke","Somali Youth League",1919-10-16,1969-10-15,"Abdirizak Haji Hussein","Islam","Mudug","Somali people"
"Abdolhossein Teymourtash","http://dbpedia.org/resource/Abdolhossein_Teymourtash","Revival Party",1883-09-25,1933-10-03,"Mehdi Qoli Hedayat","Twelver","Qajar Dynasty","Iranian peoples"
"Abdolhossein Teymourtash","http://dbpedia.org/resource/Abdolhossein_Teymourtash","Revival Party",1883-09-25,1933-10-03,"Mehdi Qoli Hedayat","Twelver","Bojnord","Iranian peoples"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"Anthony J. Celebrezze","Judaism","United States","United States"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"Anthony J. Celebrezze","Judaism","Connecticut","United States"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"Anthony J. Celebrezze","Judaism","New Britain, Connecticut","United States"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"John N. Dempsey","Judaism","United States","United States"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"John N. Dempsey","Judaism","Connecticut","United States"
